"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 06 17:30:15 GMT 2024","Thu Jun 06 17:30:39 GMT 2024","24308","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"failed","Thu Jun 06 17:30:31 GMT 2024","Thu Jun 06 17:30:33 GMT 2024","2027","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"passed","Thu Jun 06 17:30:08 GMT 2024","Thu Jun 06 17:30:09 GMT 2024","483","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Thu Jun 06 17:30:36 GMT 2024","Thu Jun 06 17:30:38 GMT 2024","1915","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"failed","Thu Jun 06 17:30:05 GMT 2024","Thu Jun 06 17:30:08 GMT 2024","2594","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"passed","Thu Jun 06 17:30:06 GMT 2024","Thu Jun 06 17:30:08 GMT 2024","2602","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Thu Jun 06 17:30:13 GMT 2024","Thu Jun 06 17:30:16 GMT 2024","2754","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Thu Jun 06 17:30:11 GMT 2024","Thu Jun 06 17:30:13 GMT 2024","2044","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Thu Jun 06 17:30:41 GMT 2024","Thu Jun 06 17:30:45 GMT 2024","3891","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Thu Jun 06 17:30:08 GMT 2024","Thu Jun 06 17:30:08 GMT 2024","474","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Thu Jun 06 17:30:41 GMT 2024","Thu Jun 06 17:30:53 GMT 2024","11846","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"passed","Thu Jun 06 17:30:26 GMT 2024","Thu Jun 06 17:30:28 GMT 2024","2757","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"passed","Thu Jun 06 17:30:19 GMT 2024","Thu Jun 06 17:30:23 GMT 2024","3445","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
