"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 17:22:38 GMT 2024","Sat Jun 08 17:22:38 GMT 2024","395","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Sat Jun 08 17:23:03 GMT 2024","Sat Jun 08 17:23:04 GMT 2024","1559","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest","Тест диалогового окна"
"passed","Sat Jun 08 17:22:34 GMT 2024","Sat Jun 08 17:22:37 GMT 2024","2422","Surefire suite","Surefire test","tests.api.AfeApiTests","tests.api.AfeApiTests","createProjectTest","createProjectTest","Тест на создание проекта с невалидным projectkey"
"failed","Sat Jun 08 17:22:44 GMT 2024","Sat Jun 08 17:23:07 GMT 2024","23823","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit","Тест на ввод данных, превышающих допустимый лимит"
"passed","Sat Jun 08 17:22:34 GMT 2024","Sat Jun 08 17:22:37 GMT 2024","2560","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Sat Jun 08 17:22:37 GMT 2024","Sat Jun 08 17:22:37 GMT 2024","209","Surefire suite","Surefire test","tests.api.AfeApiTests","tests.api.AfeApiTests","getWrongIdProjectTest","getWrongIdProjectTest","Тест на получение данных о проекте с неверным id"
"passed","Sat Jun 08 17:22:41 GMT 2024","Sat Jun 08 17:22:44 GMT 2024","2770","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField","Тест граничных значений"
"passed","Sat Jun 08 17:23:07 GMT 2024","Sat Jun 08 17:23:10 GMT 2024","3508","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile","Тест на загрузку файла"
"passed","Sat Jun 08 17:22:46 GMT 2024","Sat Jun 08 17:22:50 GMT 2024","3243","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage","Тест всплывающего окна"
"passed","Sat Jun 08 17:22:37 GMT 2024","Sat Jun 08 17:22:37 GMT 2024","450","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"passed","Sat Jun 08 17:23:09 GMT 2024","Sat Jun 08 17:23:21 GMT 2024","11841","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest","Тест на воспроизводящий любой дефект"
"passed","Sat Jun 08 17:22:37 GMT 2024","Sat Jun 08 17:22:38 GMT 2024","227","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"failed","Sat Jun 08 17:22:58 GMT 2024","Sat Jun 08 17:23:00 GMT 2024","2170","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest","Тест на удаление сущности"
"passed","Sat Jun 08 17:22:40 GMT 2024","Sat Jun 08 17:22:42 GMT 2024","1813","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkIncorrectDataMessage","checkIncorrectDataMessage","Тест на вход с некорректными логином"
"passed","Sat Jun 08 17:22:53 GMT 2024","Sat Jun 08 17:22:55 GMT 2024","2248","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity","Тест на создание тест кейса"
