"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 13:05:37 GMT 2024","Sun Jun 09 13:05:49 GMT 2024","11726","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest","Тест на воспроизводящий любой дефект"
"failed","Sun Jun 09 13:05:11 GMT 2024","Sun Jun 09 13:05:35 GMT 2024","24197","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit","Тест на ввод данных, превышающих допустимый лимит"
"passed","Sun Jun 09 13:05:20 GMT 2024","Sun Jun 09 13:05:22 GMT 2024","2434","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity","Тест на создание тест кейса"
"passed","Sun Jun 09 13:05:35 GMT 2024","Sun Jun 09 13:05:39 GMT 2024","4552","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile","Тест на загрузку файла"
"passed","Sun Jun 09 13:05:03 GMT 2024","Sun Jun 09 13:05:03 GMT 2024","289","Surefire suite","Surefire test","tests.api.AfeApiTests","tests.api.AfeApiTests","getWrongIdProjectTest","getWrongIdProjectTest","Тест на получение данных о проекте с неверным id"
"passed","Sun Jun 09 13:05:07 GMT 2024","Sun Jun 09 13:05:10 GMT 2024","2885","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField","Тест граничных значений"
"passed","Sun Jun 09 13:05:00 GMT 2024","Sun Jun 09 13:05:03 GMT 2024","2544","Surefire suite","Surefire test","tests.api.AfeApiTests","tests.api.AfeApiTests","createProjectTest","createProjectTest","Тест на создание проекта с невалидным projectkey"
"passed","Sun Jun 09 13:05:04 GMT 2024","Sun Jun 09 13:05:05 GMT 2024","668","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Sun Jun 09 13:05:00 GMT 2024","Sun Jun 09 13:05:03 GMT 2024","2879","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Sun Jun 09 13:05:13 GMT 2024","Sun Jun 09 13:05:17 GMT 2024","3669","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage","Тест всплывающего окна"
"passed","Sun Jun 09 13:05:30 GMT 2024","Sun Jun 09 13:05:32 GMT 2024","1830","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest","Тест диалогового окна"
"passed","Sun Jun 09 13:05:03 GMT 2024","Sun Jun 09 13:05:04 GMT 2024","622","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Sun Jun 09 13:05:25 GMT 2024","Sun Jun 09 13:05:27 GMT 2024","2317","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest","Тест на удаление сущности"
"passed","Sun Jun 09 13:05:07 GMT 2024","Sun Jun 09 13:05:09 GMT 2024","1886","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkIncorrectDataMessage","checkIncorrectDataMessage","Тест на вход с некорректными логином"
"passed","Sun Jun 09 13:05:03 GMT 2024","Sun Jun 09 13:05:03 GMT 2024","262","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
