"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 16:26:44 GMT 2024","Thu Jun 06 16:26:45 GMT 2024","324","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"broken","Thu Jun 06 16:26:47 GMT 2024","Thu Jun 06 16:26:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"passed","Thu Jun 06 16:26:42 GMT 2024","Thu Jun 06 16:26:45 GMT 2024","2736","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 16:26:47 GMT 2024","Thu Jun 06 16:26:47 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Thu Jun 06 16:26:44 GMT 2024","Thu Jun 06 16:26:44 GMT 2024","308","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"failed","Thu Jun 06 16:26:41 GMT 2024","Thu Jun 06 16:26:44 GMT 2024","2713","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 16:26:47 GMT 2024","Thu Jun 06 16:26:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"broken","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 16:26:47 GMT 2024","Thu Jun 06 16:26:47 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"skipped","Thu Jun 06 16:26:46 GMT 2024","Thu Jun 06 16:26:46 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
