"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 16:18:12 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","439","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Thu Jun 06 16:18:10 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","2430","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"broken","Thu Jun 06 16:18:14 GMT 2024","Thu Jun 06 16:18:14 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 16:18:14 GMT 2024","Thu Jun 06 16:18:14 GMT 2024","2","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"skipped","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","3","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","3","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"broken","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 16:18:14 GMT 2024","Thu Jun 06 16:18:14 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","447","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","13","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"failed","Thu Jun 06 16:18:10 GMT 2024","Thu Jun 06 16:18:12 GMT 2024","2389","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 16:18:14 GMT 2024","Thu Jun 06 16:18:14 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 16:18:13 GMT 2024","Thu Jun 06 16:18:13 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
