"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"passed","Thu Jun 06 15:44:23 GMT 2024","Thu Jun 06 15:44:23 GMT 2024","220","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Thu Jun 06 15:44:21 GMT 2024","Thu Jun 06 15:44:23 GMT 2024","2329","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"broken","Thu Jun 06 15:44:24 GMT 2024","Thu Jun 06 15:44:24 GMT 2024","3","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","3","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"failed","Thu Jun 06 15:44:21 GMT 2024","Thu Jun 06 15:44:23 GMT 2024","2430","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 15:44:24 GMT 2024","Thu Jun 06 15:44:24 GMT 2024","2","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Thu Jun 06 15:44:23 GMT 2024","Thu Jun 06 15:44:23 GMT 2024","193","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 15:44:25 GMT 2024","Thu Jun 06 15:44:25 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
