"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","8","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"broken","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"passed","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:33 GMT 2024","1683","Main Suite","Smoke","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Thu Jun 06 14:39:34 GMT 2024","Thu Jun 06 14:39:34 GMT 2024","182","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","14","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Thu Jun 06 14:39:33 GMT 2024","Thu Jun 06 14:39:34 GMT 2024","399","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","7","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","0","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"broken","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:32 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"failed","Thu Jun 06 14:39:32 GMT 2024","Thu Jun 06 14:39:33 GMT 2024","1720","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
