"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","0","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Thu Jun 06 14:30:33 GMT 2024","Thu Jun 06 14:30:33 GMT 2024","218","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","0","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","2","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Thu Jun 06 14:30:33 GMT 2024","Thu Jun 06 14:30:33 GMT 2024","411","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Thu Jun 06 14:30:31 GMT 2024","Thu Jun 06 14:30:33 GMT 2024","2010","Main Suite","Smoke","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"broken","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"failed","Thu Jun 06 14:30:31 GMT 2024","Thu Jun 06 14:30:33 GMT 2024","2048","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"broken","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:30:34 GMT 2024","Thu Jun 06 14:30:34 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
