"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:54 GMT 2024","597","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Thu Jun 06 15:08:54 GMT 2024","Thu Jun 06 15:08:54 GMT 2024","580","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"passed","Thu Jun 06 15:08:51 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","2112","Main Suite","Smoke","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","3","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","4","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"broken","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","2","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","2","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"failed","Thu Jun 06 15:08:51 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","2133","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","2","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"broken","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","2","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 15:08:53 GMT 2024","Thu Jun 06 15:08:53 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
