"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 10:53:48 GMT 2024","Sat Jun 08 10:53:50 GMT 2024","1859","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Sat Jun 08 10:53:18 GMT 2024","Sat Jun 08 10:53:20 GMT 2024","2587","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"failed","Sat Jun 08 10:53:27 GMT 2024","Sat Jun 08 10:53:51 GMT 2024","23867","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Sat Jun 08 10:53:18 GMT 2024","Sat Jun 08 10:53:21 GMT 2024","2465","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Sat Jun 08 10:53:53 GMT 2024","Sat Jun 08 10:54:05 GMT 2024","11919","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"passed","Sat Jun 08 10:53:24 GMT 2024","Sat Jun 08 10:53:26 GMT 2024","1872","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Sat Jun 08 10:53:25 GMT 2024","Sat Jun 08 10:53:28 GMT 2024","3037","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Sat Jun 08 10:53:53 GMT 2024","Sat Jun 08 10:53:57 GMT 2024","4250","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Sat Jun 08 10:53:31 GMT 2024","Sat Jun 08 10:53:34 GMT 2024","3500","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"failed","Sat Jun 08 10:53:43 GMT 2024","Sat Jun 08 10:53:45 GMT 2024","1809","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"passed","Sat Jun 08 10:53:37 GMT 2024","Sat Jun 08 10:53:40 GMT 2024","2549","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"passed","Sat Jun 08 10:53:21 GMT 2024","Sat Jun 08 10:53:22 GMT 2024","666","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Sat Jun 08 10:53:20 GMT 2024","Sat Jun 08 10:53:21 GMT 2024","612","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
