"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 11:04:17 GMT 2024","Sat Jun 08 11:04:19 GMT 2024","2421","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Sat Jun 08 11:04:20 GMT 2024","Sat Jun 08 11:04:20 GMT 2024","619","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Sat Jun 08 11:04:24 GMT 2024","Sat Jun 08 11:04:27 GMT 2024","2998","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Sat Jun 08 11:04:37 GMT 2024","Sat Jun 08 11:04:40 GMT 2024","2701","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"passed","Sat Jun 08 11:04:52 GMT 2024","Sat Jun 08 11:05:04 GMT 2024","11907","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"failed","Sat Jun 08 11:04:27 GMT 2024","Sat Jun 08 11:04:50 GMT 2024","23476","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Sat Jun 08 11:04:53 GMT 2024","Sat Jun 08 11:04:57 GMT 2024","4273","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Sat Jun 08 11:04:31 GMT 2024","Sat Jun 08 11:04:35 GMT 2024","3924","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"passed","Sat Jun 08 11:04:23 GMT 2024","Sat Jun 08 11:04:25 GMT 2024","1893","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Sat Jun 08 11:04:16 GMT 2024","Sat Jun 08 11:04:19 GMT 2024","2846","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"failed","Sat Jun 08 11:04:43 GMT 2024","Sat Jun 08 11:04:45 GMT 2024","1774","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"passed","Sat Jun 08 11:04:19 GMT 2024","Sat Jun 08 11:04:20 GMT 2024","274","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Sat Jun 08 11:04:48 GMT 2024","Sat Jun 08 11:04:50 GMT 2024","1819","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
