"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","0","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Thu Jun 06 14:24:34 GMT 2024","Thu Jun 06 14:24:35 GMT 2024","423","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"broken","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","3","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"passed","Thu Jun 06 14:24:32 GMT 2024","Thu Jun 06 14:24:34 GMT 2024","1854","Main Suite","Smoke","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","3","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"passed","Thu Jun 06 14:24:35 GMT 2024","Thu Jun 06 14:24:35 GMT 2024","403","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","2","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"broken","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:24:42 GMT 2024","Thu Jun 06 14:24:42 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"failed","Thu Jun 06 14:24:32 GMT 2024","Thu Jun 06 14:24:34 GMT 2024","1883","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
