"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"broken","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 16:28:42 GMT 2024","Thu Jun 06 16:28:42 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Thu Jun 06 16:28:37 GMT 2024","Thu Jun 06 16:28:39 GMT 2024","2619","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 16:28:42 GMT 2024","Thu Jun 06 16:28:42 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"failed","Thu Jun 06 16:28:37 GMT 2024","Thu Jun 06 16:28:39 GMT 2024","2697","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"passed","Thu Jun 06 16:28:39 GMT 2024","Thu Jun 06 16:28:40 GMT 2024","309","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Thu Jun 06 16:28:40 GMT 2024","Thu Jun 06 16:28:40 GMT 2024","265","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"broken","Thu Jun 06 16:28:41 GMT 2024","Thu Jun 06 16:28:41 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
