"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 16:24:31 GMT 2024","Thu Jun 06 16:24:31 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"passed","Thu Jun 06 16:24:26 GMT 2024","Thu Jun 06 16:24:29 GMT 2024","2609","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Thu Jun 06 16:24:29 GMT 2024","Thu Jun 06 16:24:29 GMT 2024","263","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"failed","Thu Jun 06 16:24:26 GMT 2024","Thu Jun 06 16:24:29 GMT 2024","2482","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 16:24:31 GMT 2024","Thu Jun 06 16:24:31 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 16:24:31 GMT 2024","Thu Jun 06 16:24:31 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Thu Jun 06 16:24:29 GMT 2024","Thu Jun 06 16:24:29 GMT 2024","227","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"broken","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 16:24:30 GMT 2024","Thu Jun 06 16:24:30 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"broken","Thu Jun 06 16:24:31 GMT 2024","Thu Jun 06 16:24:31 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
