"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 13:04:49 GMT 2024","Sun Jun 09 13:04:51 GMT 2024","2687","Surefire suite","Surefire test","tests.api.AfeApiTests","tests.api.AfeApiTests","createProjectTest","createProjectTest","Тест на создание проекта с невалидным projectkey"
"passed","Sun Jun 09 13:05:09 GMT 2024","Sun Jun 09 13:05:11 GMT 2024","2378","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity","Тест на создание тест кейса"
"failed","Sun Jun 09 13:04:59 GMT 2024","Sun Jun 09 13:05:23 GMT 2024","24276","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit","Тест на ввод данных, превышающих допустимый лимит"
"passed","Sun Jun 09 13:04:52 GMT 2024","Sun Jun 09 13:04:52 GMT 2024","221","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"passed","Sun Jun 09 13:05:24 GMT 2024","Sun Jun 09 13:05:27 GMT 2024","3738","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile","Тест на загрузку файла"
"passed","Sun Jun 09 13:05:24 GMT 2024","Sun Jun 09 13:05:36 GMT 2024","11917","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest","Тест на воспроизводящий любой дефект"
"passed","Sun Jun 09 13:04:52 GMT 2024","Sun Jun 09 13:04:52 GMT 2024","510","Surefire suite","Surefire test","tests.api.AfeApiTests","tests.api.AfeApiTests","getWrongIdProjectTest","getWrongIdProjectTest","Тест на получение данных о проекте с неверным id"
"passed","Sun Jun 09 13:04:49 GMT 2024","Sun Jun 09 13:04:51 GMT 2024","2520","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Sun Jun 09 13:04:52 GMT 2024","Sun Jun 09 13:04:52 GMT 2024","196","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"passed","Sun Jun 09 13:04:52 GMT 2024","Sun Jun 09 13:04:52 GMT 2024","182","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"passed","Sun Jun 09 13:05:14 GMT 2024","Sun Jun 09 13:05:16 GMT 2024","2591","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest","Тест на удаление сущности"
"passed","Sun Jun 09 13:05:19 GMT 2024","Sun Jun 09 13:05:21 GMT 2024","1792","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest","Тест диалогового окна"
"passed","Sun Jun 09 13:05:03 GMT 2024","Sun Jun 09 13:05:06 GMT 2024","3428","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage","Тест всплывающего окна"
"passed","Sun Jun 09 13:04:55 GMT 2024","Sun Jun 09 13:04:57 GMT 2024","2090","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkIncorrectDataMessage","checkIncorrectDataMessage","Тест на вход с некорректными логином"
"passed","Sun Jun 09 13:04:57 GMT 2024","Sun Jun 09 13:05:00 GMT 2024","3095","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField","Тест граничных значений"
