"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"failed","Thu Jun 06 14:00:08 GMT 2024","Thu Jun 06 14:00:08 GMT 2024","490","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"broken","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"broken","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"passed","Thu Jun 06 14:00:08 GMT 2024","Thu Jun 06 14:00:09 GMT 2024","492","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"passed","Thu Jun 06 14:00:07 GMT 2024","Thu Jun 06 14:00:08 GMT 2024","1345","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"skipped","Thu Jun 06 14:00:11 GMT 2024","Thu Jun 06 14:00:11 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Thu Jun 06 14:00:09 GMT 2024","Thu Jun 06 14:00:09 GMT 2024","473","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
