"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"broken","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"passed","Thu Jun 06 16:30:07 GMT 2024","Thu Jun 06 16:30:07 GMT 2024","308","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","11","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 16:30:09 GMT 2024","Thu Jun 06 16:30:09 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 16:30:09 GMT 2024","Thu Jun 06 16:30:09 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"failed","Thu Jun 06 16:30:04 GMT 2024","Thu Jun 06 16:30:07 GMT 2024","2462","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","4","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"passed","Thu Jun 06 16:30:07 GMT 2024","Thu Jun 06 16:30:07 GMT 2024","290","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","6","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Thu Jun 06 16:30:05 GMT 2024","Thu Jun 06 16:30:07 GMT 2024","2569","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 16:30:08 GMT 2024","Thu Jun 06 16:30:08 GMT 2024","4","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 16:30:09 GMT 2024","Thu Jun 06 16:30:09 GMT 2024","2","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"broken","Thu Jun 06 16:30:09 GMT 2024","Thu Jun 06 16:30:09 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
