"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 14:44:12 GMT 2024","Thu Jun 06 14:44:12 GMT 2024","413","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"broken","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"passed","Thu Jun 06 14:44:12 GMT 2024","Thu Jun 06 14:44:13 GMT 2024","449","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","12","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","0","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","4","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"failed","Thu Jun 06 14:44:10 GMT 2024","Thu Jun 06 14:44:12 GMT 2024","1802","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"broken","Thu Jun 06 14:44:14 GMT 2024","Thu Jun 06 14:44:14 GMT 2024","2","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"passed","Thu Jun 06 14:44:10 GMT 2024","Thu Jun 06 14:44:12 GMT 2024","1768","Main Suite","Smoke","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
