"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 06 15:47:34 GMT 2024","Thu Jun 06 15:47:34 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","2","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 15:47:34 GMT 2024","Thu Jun 06 15:47:34 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"passed","Thu Jun 06 15:47:30 GMT 2024","Thu Jun 06 15:47:32 GMT 2024","2597","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"skipped","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 15:47:34 GMT 2024","Thu Jun 06 15:47:34 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"broken","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"skipped","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Thu Jun 06 15:47:32 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","488","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"skipped","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","2","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"failed","Thu Jun 06 15:47:30 GMT 2024","Thu Jun 06 15:47:32 GMT 2024","2488","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"passed","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","553","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 15:47:34 GMT 2024","Thu Jun 06 15:47:34 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"skipped","Thu Jun 06 15:47:33 GMT 2024","Thu Jun 06 15:47:33 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
