"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","1","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"broken","Thu Jun 06 16:01:42 GMT 2024","Thu Jun 06 16:01:42 GMT 2024","3","Surefire suite","Surefire test","baseEntities.BaseTest","baseEntities.BaseTest","setupSuite","setupSuite",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"broken","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupSuite","setupSuite",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"passed","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","200","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","22","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"failed","Thu Jun 06 16:01:44 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","2406","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","1","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
"passed","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","254","Surefire suite","Surefire test","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"broken","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupSuite","setupSuite",""
"skipped","Thu Jun 06 16:01:47 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","0","Surefire suite","Surefire test","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"passed","Thu Jun 06 16:01:44 GMT 2024","Thu Jun 06 16:01:47 GMT 2024","2321","Surefire suite","Surefire test","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
