"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","dialogBoxTest","dialogBoxTest",""
"passed","Thu Jun 06 14:48:38 GMT 2024","Thu Jun 06 14:48:38 GMT 2024","200","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getUserInfoTest","getUserInfoTest",""
"broken","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","setupBrowser","setupBrowser",""
"passed","Thu Jun 06 14:48:36 GMT 2024","Thu Jun 06 14:48:38 GMT 2024","1936","Main Suite","Smoke","tests.api.PostApiTest","tests.api.PostApiTest","createProjectTest","createProjectTest",""
"passed","Thu Jun 06 14:48:38 GMT 2024","Thu Jun 06 14:48:38 GMT 2024","400","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getTestPlanTest","getTestPlanTest",""
"failed","Thu Jun 06 14:48:36 GMT 2024","Thu Jun 06 14:48:38 GMT 2024","1961","Main Suite","Smoke","tests.api.GetApiTests","tests.api.GetApiTests","getProjectTest","getProjectTest",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","exceedDataLimit","exceedDataLimit",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","deleteEntityTest","deleteEntityTest",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","failedTest","failedTest",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkInputField","checkInputField",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","checkVisiblePopupMessage","checkVisiblePopupMessage",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","uploadFile","uploadFile",""
"broken","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","0","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","setupBrowser","setupBrowser",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.PositiveUITests","tests.gui.PositiveUITests","createEntity","createEntity",""
"skipped","Thu Jun 06 14:48:40 GMT 2024","Thu Jun 06 14:48:40 GMT 2024","1","Main Suite","Smoke","tests.gui.NegativeUITests","tests.gui.NegativeUITests","checkUncorrectDataMessage","checkUncorrectDataMessage",""
